summary,title,director,writers,stars,poster,genre
"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",1917,Sam Mendes,"['Sam Mendes', 'Krysty Wilson-Cairns']","['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']","https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_QL75_UX190_CR0,10,190,281_.jpg",ActionDramaWar
"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Top Gun: Maverick,Joseph Kosinski,"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']","https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",ActionDrama
"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Der Untergang,Oliver Hirschbiegel,"['Bernd Eichinger', 'Joachim Fest', 'Traudl Junge']","['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']","https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_QL75_UY281_CR1,0,190,281_.jpg",BiographyDramaHistory
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Dangal,Nitesh Tiwari,"['Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra']","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY281_CR6,0,190,281_.jpg",ActionBiographyDrama
Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Per qualche dollaro in più,Sergio Leone,"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']","['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']","https://m.media-amazon.com/images/M/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",DramaWestern
"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Batman Begins,Christopher Nolan,"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']","['Christian Bale', 'Michael Caine', 'Ken Watanabe']","https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",ActionCrimeDrama
"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",The Kid,Charles Chaplin,['Charles Chaplin'],"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']","https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg",ComedyDramaFamily
"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Some Like It Hot,Billy Wilder,"['Billy Wilder', 'I.A.L. Diamond', 'Robert Thoeren']","['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']","https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,6,190,281_.jpg",ComedyMusicRomance
"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",The Father,Florian Zeller,"['Christopher Hampton', 'Florian Zeller']","['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",DramaMystery
"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",The Wolf of Wall Street,Martin Scorsese,"['Terence Winter', 'Jordan Belfort']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']","https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",BiographyComedyCrime
A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,All About Eve,Joseph L. Mankiewicz,"['Joseph L. Mankiewicz', 'Mary Orr']","['Bette Davis', 'Anne Baxter', 'George Sanders']","https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Drama
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Green Book,Peter Farrelly,"['Nick Vallelonga', 'Brian Hayes Currie', 'Peter Farrelly']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']","https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_QL75_UX190_CR0,2,190,281_.jpg",BiographyComedyDrama
"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Judgment at Nuremberg,Stanley Kramer,"['Abby Mann', 'Montgomery Clift']","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']","https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",DramaWar
"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Ran,Akira Kurosawa,"['Akira Kurosawa', 'Hideo Oguni', 'Masato Ide']","['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']","https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",ActionDramaWar
